source,destination,inlet,outlet,index,parent,type,subtype,description,thickness,col
obj-1_flucoma performance.maxpat_523,obj-18_flucoma performance.maxpat_2791,0,0,_flucoma performance.maxpat0,_flucoma performance.maxpat,digital,constant,A max patch chord.,1,0.3060.5690.2391
obj-100_flucoma performance.maxpat_1551,obj-6_flucoma performance.maxpat_4288,1,0,_flucoma performance.maxpat1,_flucoma performance.maxpat,digital,sporadic,A max patch chord.,1,0001
obj-101_flucoma performance.maxpat_624,obj-28_flucoma performance.maxpat_7788,0,0,_flucoma performance.maxpat2,_flucoma performance.maxpat,digital,sporadic,A max patch chord.,1,0001
obj-101_flucoma performance.maxpat_624,obj-29_flucoma performance.maxpat_2803,0,0,_flucoma performance.maxpat3,_flucoma performance.maxpat,digital,sporadic,A max patch chord.,1,0001
obj-102_flucoma performance.maxpat_5944,obj-111_flucoma performance.maxpat_8708,0,0,_flucoma performance.maxpat4,_flucoma performance.maxpat,digital,constant,A max patch chord.,1,0.3060.5690.2391
obj-103_flucoma performance.maxpat_3606,obj-108_flucoma performance.maxpat_288,0,0,_flucoma performance.maxpat5,_flucoma performance.maxpat,digital,sporadic,A max patch chord.,1,0001
obj-104_flucoma performance.maxpat_3106,obj-86_flucoma performance.maxpat_7094,0,0,_flucoma performance.maxpat6,_flucoma performance.maxpat,digital,sporadic,A max patch chord.,1,0001
obj-104_flucoma performance.maxpat_3106,obj-89_flucoma performance.maxpat_6485,0,1,_flucoma performance.maxpat7,_flucoma performance.maxpat,digital,sporadic,A max patch chord.,1,0001
obj-106_flucoma performance.maxpat_6647,obj-87_flucoma performance.maxpat_9303,0,0,_flucoma performance.maxpat8,_flucoma performance.maxpat,digital,sporadic,A max patch chord.,1,0001
obj-113_flucoma performance.maxpat_3897,obj-132_flucoma performance.maxpat_6099,0,0,_flucoma performance.maxpat9,_flucoma performance.maxpat,digital,constant,A max patch chord.,1,0.3060.5690.2391
obj-115_flucoma performance.maxpat_834,obj-9_flucoma performance.maxpat_7105,0,0,_flucoma performance.maxpat10,_flucoma performance.maxpat,digital,sporadic,A max patch chord.,1,0001
obj-13_flucoma performance.maxpat_472,obj-7_flucoma performance.maxpat_2248,0,0,_flucoma performance.maxpat11,_flucoma performance.maxpat,digital,sporadic,A max patch chord.,1,0001
obj-130_flucoma performance.maxpat_6708,obj-121_flucoma performance.maxpat_8323,0,0,_flucoma performance.maxpat12,_flucoma performance.maxpat,digital,constant,A max patch chord.,1,0.3060.5690.2391
obj-132_flucoma performance.maxpat_6099,obj-18_flucoma performance.maxpat_2791,1,1,_flucoma performance.maxpat13,_flucoma performance.maxpat,digital,sporadic,A max patch chord.,1,0001
