uniqueID,x,y,nodeName,type,subtype,varname,description,neighbours,maxclass,text,parent,subpatch,abstraction,patchX,patchY,patchW,patchH,inlets,outlets,size,col,inletIdx,outletIdx
obj-147_flucoma performance.maxpat_5379,0,0,subpatcher,physical,digital,undefined,undefined,,newobj,p gain,_flucoma performance.maxpat,0,0,53.873718,1159.709839,41,22,1,1,10,0.2550.4670.6981,0,0
obj-140_flucoma performance.maxpat_5847,0,0,message,physical,digital,undefined,undefined,,message,2,_flucoma performance.maxpat,0,0,1218,640,29.5,22,2,1,10,0.2550.4670.6981,0,0
obj-139_flucoma performance.maxpat_5682,0,0,sel 0 1,physical,digital,undefined,undefined,,newobj,sel 0 1,_flucoma performance.maxpat,0,0,1183,584.3168328359375,44,22,3,3,10,0.2550.4670.6981,0,0
obj-138_flucoma performance.maxpat_5390,0,0,message,physical,digital,undefined,undefined,,message,0.25,_flucoma performance.maxpat,0,0,1169,640,32,22,2,1,10,0.2550.4670.6981,0,0
obj-131_flucoma performance.maxpat_4235,0,0,ezdac~,physical,digital,undefined,undefined,,ezdac~,,_flucoma performance.maxpat,0,0,1199,1011,45,45,2,0,10,0.2550.4670.6981,0,0
obj-130_flucoma performance.maxpat_6708,0,0,sig~ 1,physical,digital,undefined,undefined,,newobj,sig~ 1,_flucoma performance.maxpat,0,0,1183,866,41,22,1,1,10,0.2550.4670.6981,0,0
obj-121_flucoma performance.maxpat_8323,0,0,groove~ #0cloud @loop 1,physical,digital,undefined,undefined,,newobj,groove~ #0cloud @loop 1,_flucoma performance.maxpat,0,0,1183,932.9163818359375,146,22,3,2,10,0.2550.4670.6981,0,0
obj-112_flucoma performance.maxpat_1854,0,0,waveform~,physical,digital,undefined,undefined,,waveform~,,_flucoma performance.maxpat,0,0,941,1347.1951296718748,256,64,5,6,10,0.2550.4670.6981,0,0
obj-76_flucoma performance.maxpat_768,0,0,route attackbang attacktoggle,physical,digital,undefined,undefined,,newobj,route attackbang attacktoggle,_flucoma performance.maxpat,0,0,1010.5,1058.945587,168,22,3,3,10,0.2550.4670.6981,0,0
obj-79_flucoma performance.maxpat_6341,0,0,subpatcher,physical,digital,undefined,undefined,,newobj,p onsetdetect,_flucoma performance.maxpat,0,0,1010.5,1022.5,83,22,1,1,10,0.2550.4670.6981,0,0
