idx,source,target,outlet,inlet,parent
0,obj-11_obj-19_root,obj-69_obj-19_root,0,0,obj-19_root
1,obj-14_obj-19_root,obj-49_obj-19_root,0,0,obj-19_root
2,obj-14_obj-19_root,obj-71_obj-19_root,0,0,obj-19_root
3,obj-16_obj-19_root,obj-19_obj-19_root,0,0,obj-19_root
4,obj-19_obj-19_root,obj-22_obj-19_root,0,0,obj-19_root
5,obj-21_obj-19_root,obj-78_obj-19_root,0,0,obj-19_root
6,obj-22_obj-19_root,obj-23_obj-19_root,0,0,obj-19_root
7,obj-23_obj-19_root,obj-57_obj-19_root,1,0,obj-19_root
8,obj-23_obj-19_root,obj-81_obj-19_root,0,0,obj-19_root
9,obj-25_obj-19_root,obj-77_obj-19_root,0,1,obj-19_root
10,obj-25_obj-19_root,obj-77_obj-19_root,0,0,obj-19_root
11,obj-3_obj-19_root,obj-46_obj-19_root,0,0,obj-19_root
12,obj-34_obj-19_root,obj-64_obj-19_root,1,1,obj-19_root
13,obj-44_obj-19_root,obj-64_obj-19_root,1,0,obj-19_root
14,obj-44_obj-19_root,obj-67_obj-19_root,0,0,obj-19_root
15,obj-5_obj-19_root,obj-11_obj-19_root,0,1,obj-19_root
16,obj-57_obj-19_root,obj-82_obj-19_root,0,1,obj-19_root
17,obj-59_obj-19_root,obj-41_obj-19_root,0,1,obj-19_root
18,obj-59_obj-19_root,obj-78_obj-19_root,0,0,obj-19_root
19,obj-6_obj-19_root,obj-61_obj-19_root,0,0,obj-19_root
20,obj-61_obj-19_root,obj-57_obj-19_root,0,1,obj-19_root
21,obj-64_obj-19_root,obj-59_obj-19_root,0,0,obj-19_root
22,obj-67_obj-19_root,obj-34_obj-19_root,0,0,obj-19_root
23,obj-69_obj-19_root,obj-44_obj-19_root,0,0,obj-19_root
24,obj-71_obj-19_root,obj-73_obj-19_root,0,0,obj-19_root
25,obj-71_obj-19_root,obj-74_obj-19_root,1,0,obj-19_root
26,obj-73_obj-19_root,obj-74_obj-19_root,0,0,obj-19_root
27,obj-74_obj-19_root,obj-11_obj-19_root,0,0,obj-19_root
28,obj-75_obj-19_root,obj-78_obj-19_root,0,0,obj-19_root
29,obj-76_obj-19_root,obj-78_obj-19_root,0,0,obj-19_root
30,obj-78_obj-19_root,obj-25_obj-19_root,0,0,obj-19_root
31,obj-78_obj-19_root,obj-83_obj-19_root,0,0,obj-19_root
32,obj-81_obj-19_root,obj-82_obj-19_root,0,0,obj-19_root
33,obj-82_obj-19_root,obj-1_obj-19_root,0,0,obj-19_root
34,obj-82_obj-19_root,obj-9_obj-19_root,0,0,obj-19_root
35,obj-83_obj-19_root,obj-4_obj-19_root,0,0,obj-19_root
36,obj-9_obj-19_root,obj-7_obj-19_root,0,0,obj-19_root
37,obj-10_obj-16_root,obj-2_obj-16_root,0,0,obj-16_root
38,obj-11_obj-16_root,obj-19_obj-16_root,0,0,obj-16_root
39,obj-11_obj-16_root,obj-21_obj-16_root,0,0,obj-16_root
40,obj-11_obj-16_root,obj-40_obj-16_root,0,0,obj-16_root
41,obj-12_obj-16_root,obj-2_obj-16_root,0,0,obj-16_root
42,obj-13_obj-16_root,obj-2_obj-16_root,0,0,obj-16_root
